image,species,individual_id
5349ed118c0c53.jpg,humpback_whale,0d73b01c5e77
d59b0136fe40f4.jpg,false_killer_whale,6ba07adc3184
c86a76a81226fb.jpg,dusky_dolphin,5384a03ce34d
270f3f877c1cba.jpg,blue_whale,cf4ed5348280
3cb98dff73ec16.jpg,beluga,122dc7f46c24
9829ea8ee8072b.jpg,brydes_whale,83afdba5e8e5
77965693e1aa92.jpg,false_killer_whale,62ec6fea7ad5
e3bdb271ae6f59.jpg,blue_whale,595894a33aed
790d25a41fc620.jpg,beluga,12f2a4406d7e
853990f68b7397.jpg,beluga,9336b7a2ae28
8375e8e0747849.jpg,bottlenose_dolphin,9103a95dee61
20ed224d2b5a4d.jpg,kiler_whale,4d6de5af9c8c
31441d6533c673.jpg,humpback_whale,8b7c29052b93
30e0e09e3db81a.jpg,humpback_whale,18f270f6ca16
8f7bb56b9ce6d5.jpg,bottlenose_dolphin,4b00fe572063
cfea5d1b181747.jpg,spotted_dolphin,0bcb6af75321
73e2576ba9b831.jpg,dusky_dolphin,022b1df8c3b1
a208e4d2e85aab.jpg,humpback_whale,a80ad83c9812
2e369da886a364.jpg,humpback_whale,82af241cd012
de45beb37da809.jpg,humpback_whale,6e8b8fed87af
f3568cee1383d9.jpg,false_killer_whale,62ec6fea7ad5
80f799af5fca40.jpg,humpback_whale,609a373eda55
483b34ec526cc1.jpg,beluga,0bcb911c63d1
face1970966cf2.jpg,melon_headed_whale,0b51eccf2840
7d20e016ee26f2.jpg,bottlenose_dolphin,b11b2404c7e3
b3affd02469434.jpg,beluga,9a149b8ff660
7232b3e536d779.jpg,beluga,4386ab436af2
c495273d0b3f73.jpg,blue_whale,7aa63b94cde7
21d8af4d3191e2.jpg,humpback_whale,82af241cd012
0581ab6a71d67b.jpg,bottlenose_dolphin,064ed40c88d0
3906ee5b3d4704.jpg,bottlenose_dolphin,bc1eb2241633
9e090d9b210794.jpg,bottlenose_dolphin,a59972315f7d
3066b9643c4df6.jpg,spinner_dolphin,d15b042295c0
1650a80d679392.jpg,blue_whale,daf4b9c5da51
ee4a718f4caaf0.jpg,bottlenose_dolpin,0feb2b4350e4
ecb4514d917663.jpg,blue_whale,263bc9ae3b6c
69ffe366b34b08.jpg,fin_whale,48c860902c27
98b87b4a72b488.jpg,bottlenose_dolpin,c82b7cea25bb
536afaaa4b19de.jpg,cuviers_beaked_whale,fca4fa5e1778
ac4b79e3466e6f.jpg,beluga,9e7a66e7ed2d
4a9a172d673755.jpg,bottlenose_dolphin,b11b2404c7e3
a0bd8c68bd3d4b.jpg,beluga,233c1b34e843
55cf037282f4ce.jpg,melon_headed_whale,2e62c87e1d51
7c28af260936f6.jpg,beluga,5dc6032fca87
649c2f0126be28.jpg,beluga,2ed22956060f
5129d7f785a37d.jpg,beluga,0a67aa3bfe4e
7cac4a6ad8d52a.jpg,beluga,5ac053677ed1
af41cd5823312b.jpg,bottlenose_dolpin,0c1998511689
acbbefc8994953.jpg,dusky_dolphin,4964428c7175
8a5832d0bdbd95.jpg,beluga,f17a28521e9d
464edb76247cc6.jpg,spinner_dolphin,8adefb8455b6
294f9725a0c75d.jpg,blue_whale,9485d5c4257b
